scenario,building,point,label,floor,z_m,PF,PF_raw,LF,ground_frac,roof_frac,avg_floor_crossings,avg_soil_path_m,floor_decks_above,kjellerdekke_mode,base_scenario
Kjellervindu 40x60 cm | kjellerdekke:same_as_floor,Murbygg | dekke 180 | lett tak 35,5 målepunkter,Kjeller,-1,-1.1,51.33721089647083,51.33721089647083,0.01947904809274991,0.9638343834491381,0.03616561655086183,0.0,11.921624055050621,5,same_as_floor,Kjellervindu 40x60 cm
Kjellervindu 40x60 cm | kjellerdekke:same_as_floor,Murbygg | dekke 180 | lett tak 35,5 målepunkter,1. etasje,0,1.5,12.894709811066427,12.894709811066427,0.0775511829775173,0.9705915596262833,0.02940844037371674,0.0,0.0,4,same_as_floor,Kjellervindu 40x60 cm
Kjellervindu 40x60 cm | kjellerdekke:same_as_floor,Murbygg | dekke 180 | lett tak 35,5 målepunkter,2. etasje,1,4.5,38.433141892891385,38.433141892891385,0.026019210263550183,0.7778138783940084,0.2221861216059916,0.7389451382382641,0.0,3,same_as_floor,Kjellervindu 40x60 cm
Kjellervindu 40x60 cm | kjellerdekke:same_as_floor,Murbygg | dekke 180 | lett tak 35,5 målepunkter,3. etasje,2,7.5,39.77791772382024,39.77791772382024,0.02513957635849725,0.241769160316726,0.758230839683274,1.252122933293688,0.0,2,same_as_floor,Kjellervindu 40x60 cm
Kjellervindu 40x60 cm | kjellerdekke:same_as_floor,Murbygg | dekke 180 | lett tak 35,5 målepunkter,4. etasje,3,10.5,13.147204908474391,13.147204908474391,0.07606179465229318,0.033738593092895654,0.9662614069071044,1.6950226097836676,0.0,1,same_as_floor,Kjellervindu 40x60 cm
Kjellervindu 40x60 cm | kjellerdekke:same_as_floor,Murbygg | dekke 180 | lett tak 35,5 målepunkter,5. etasje,4,13.5,2.6004084022116536,2.6004084022116536,0.3845549795753227,0.0029016606632055494,0.9970983393367944,2.092333162241398,0.0,0,same_as_floor,Kjellervindu 40x60 cm
Kjellervindu 40x60 cm | kjellerdekke:same_as_floor,Lett bjelkelag + murvegg | dekke 26.4 | lett tak 35,5 målepunkter,Kjeller,-1,-1.1,4.585106100258899,4.585106100258899,0.21809746124381613,0.0860834243625752,0.9139165756374248,0.0,11.921624055050621,5,same_as_floor,Kjellervindu 40x60 cm
Kjellervindu 40x60 cm | kjellerdekke:same_as_floor,Lett bjelkelag + murvegg | dekke 26.4 | lett tak 35,5 målepunkter,1. etasje,0,1.5,3.2932243152691334,3.2932243152691334,0.30365377644136476,0.24788271866444728,0.7521172813355528,0.0,0.0,4,same_as_floor,Kjellervindu 40x60 cm
Kjellervindu 40x60 cm | kjellerdekke:same_as_floor,Lett bjelkelag + murvegg | dekke 26.4 | lett tak 35,5 målepunkter,2. etasje,1,4.5,3.7276605990075478,3.7276605990075478,0.2682647664506366,0.23546260832940263,0.7645373916705974,0.7389451382382641,0.0,3,same_as_floor,Kjellervindu 40x60 cm
Kjellervindu 40x60 cm | kjellerdekke:same_as_floor,Lett bjelkelag + murvegg | dekke 26.4 | lett tak 35,5 målepunkter,3. etasje,2,7.5,3.6015687177229077,3.6015687177229077,0.2776567874657269,0.15404735730446523,0.8459526426955348,1.252122933293688,0.0,2,same_as_floor,Kjellervindu 40x60 cm
Kjellervindu 40x60 cm | kjellerdekke:same_as_floor,Lett bjelkelag + murvegg | dekke 26.4 | lett tak 35,5 målepunkter,4. etasje,3,10.5,3.100327291291422,3.100327291291422,0.32254659139018066,0.08146191058974361,0.9185380894102564,1.6950226097836676,0.0,1,same_as_floor,Kjellervindu 40x60 cm
