scenario,building,point,label,floor,z_m,PF,PF_raw,LF,ground_frac,roof_frac,avg_floor_crossings,diag_avg_soil_path_m,floor_decks_above,Dg_in,Dr_in,Dg_ref,Dr_ref,Din,Dref,basement_opening_mode,basement_ceiling_mode,roof_model,ground_radius_m,M_floor_kg_m2,M_roof_kg_m2,M_wall_kg_m2,M_foundation_wall_kg_m2,M_basement_ceiling_kg_m2
Kjellervindu 40x60 cm,Murbygg | stubbloft bevart,5 målepunkter i rommet,Kjeller,-1,-1.1,39.900620577770106,39.900620577770106,0.025062266839958162,0.9887357698707027,0.011264230129297408,0.0,11.921624055050621,5,0.03842565013392303,0.00043776646821726576,0.5507251446215115,0.9999492955763,0.038863416602140294,1.5506744401978114,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm,Murbygg | stubbloft bevart,5 målepunkter i rommet,1. etasje,0,1.5,10.08216738594147,10.08216738594147,0.09918502259686697,0.9893677786936528,0.0106322213063471,0.0,0.0,4,0.191316086476387,0.002055974547267956,0.7436205829470717,1.2059889040579064,0.19337206102365498,1.949609487004978,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm,Murbygg | stubbloft bevart,5 målepunkter i rommet,2. etasje,1,4.5,37.801577386569015,37.801577386569015,0.026453922538039437,0.8899341347957429,0.11006586520425707,0.7389451382382641,0.0,3,0.08184250238340882,0.010122171386738512,1.9451084870412334,1.5313012453115646,0.09196467377014733,3.4764097323527983,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm,Murbygg | stubbloft bevart,5 målepunkter i rommet,3. etasje,2,7.5,56.099386595415965,56.099386595415965,0.017825506849333584,0.37177240271873846,0.6282275972812615,1.252122933293688,0.0,2,0.03113517929087382,0.052612777962502244,2.696155236194249,2.0020537943392656,0.08374795725337607,4.698209030533515,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm,Murbygg | stubbloft bevart,5 målepunkter i rommet,4. etasje,3,10.5,18.183546355764907,18.183546355764907,0.05499477277065704,0.05041769754103176,0.9495823024589684,1.6950226097836676,0.0,1,0.016160370762564238,0.3043693549237851,3.125342298506251,2.703024826912091,0.3205297256863493,5.8283671254183425,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm,Murbygg | stubbloft bevart,5 målepunkter i rommet,5. etasje,4,13.5,2.635579256431737,2.635579256431737,0.37942323212616336,0.0030510787750317064,0.9969489212249683,2.092333162241398,0.0,0,0.008193345705568832,2.6771996938378586,3.3529218731732007,3.7246443172136283,2.6853930395434276,7.077566190386829,exposed_above_grade,same_as_floor,sloped,60.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm,Murbygg | full utskifting + mineralull,5 målepunkter i rommet,Kjeller,-1,-1.1,14.206151709926932,14.206151709926932,0.07039204004144367,0.3520278668457639,0.6479721331542361,0.0,11.921624055050621,5,0.03842565013392303,0.07072948715172456,0.5507251446215115,0.9999492955763,0.10915513728564759,1.5506744401978114,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm,Murbygg | full utskifting + mineralull,5 målepunkter i rommet,1. etasje,0,1.5,6.0832694826410645,6.0832694826410645,0.16438528703250013,0.5969540660104268,0.4030459339895731,0.0,0.0,4,0.191316086476387,0.1291710286462116,0.7436205829470717,1.2059889040579064,0.32048711512259864,1.949609487004978,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm,Murbygg | full utskifting + mineralull,5 målepunkter i rommet,2. etasje,1,4.5,8.405848023001553,8.405848023001553,0.11896479656349067,0.39922563672514283,0.6007743632748571,0.7389451382382641,0.0,3,0.16510789692108294,0.24846247965960674,1.9451084870412334,1.5313012453115646,0.4135703765806897,3.4764097323527983,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm,Murbygg | full utskifting + mineralull,5 målepunkter i rommet,3. etasje,2,7.5,7.580471151406566,7.580471151406566,0.13191792172633607,0.19495452056148402,0.8050454794385159,1.252122933293688,0.0,2,0.12082851721892547,0.49894945392495993,2.696155236194249,2.0020537943392656,0.6197779711438854,4.698209030533515,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm,Murbygg | full utskifting + mineralull,5 målepunkter i rommet,4. etasje,3,10.5,5.060742638704227,5.060742638704227,0.19759945750887742,0.07210641552987472,0.9278935844701252,1.6950226097836676,0.0,1,0.08304367398411752,1.068638508161122,3.125342298506251,2.703024826912091,1.1516821821452397,5.8283671254183425,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
