scenario,building,point,label,floor,z_m,PF,PF_raw,LF,ground_frac,roof_frac,avg_floor_crossings,diag_avg_soil_path_m,floor_decks_above,Dg_in,Dr_in,Dg_ref,Dr_ref,Din,Dref,basement_opening_mode,basement_ceiling_mode,roof_model,ground_radius_m,M_floor_kg_m2,M_roof_kg_m2,M_wall_kg_m2,M_foundation_wall_kg_m2,M_basement_ceiling_kg_m2
Kjellervindu 40x60 cm | R=30 m,Murbygg | stubbloft bevart,5 målepunkter,Kjeller,-1,-1.1,37.9570141479103,37.9570141479103,0.02634559178188294,0.9888024518122853,0.011197548187714738,0.0,7.730966089841017,5,0.038657083661345584,0.00043776646821726576,0.4839744839019498,0.9999492955763,0.03909485012956285,1.4839237794782498,exposed_above_grade,same_as_floor,sloped,30.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | stubbloft bevart,5 målepunkter,1. etasje,0,1.5,10.852202122701158,10.852202122701158,0.09214719636562536,0.9879956523625865,0.012004347637413515,0.0,0.0,4,0.16921318637407815,0.002055974547267956,0.6526586476459721,1.2059889040579064,0.17126916092134611,1.8586475517038785,exposed_above_grade,same_as_floor,sloped,30.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | stubbloft bevart,5 målepunkter,2. etasje,1,4.5,54.711919964025576,54.711919964025576,0.01827755269158027,0.8272858639757856,0.17271413602421432,0.8412668565134835,0.0,3,0.048484330777736284,0.010122171386738512,1.6751730104826723,1.5313012453115646,0.0586065021644748,3.206474255794237,exposed_above_grade,same_as_floor,sloped,30.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | stubbloft bevart,5 målepunkter,3. etasje,2,7.5,66.2639799169704,66.2639799169704,0.01509115512308516,0.18111834410144123,0.8188816558985588,1.4147512812936522,0.0,2,0.011636772120250858,0.052612777962502244,2.255377102018669,2.0020537943392656,0.0642495500827531,4.257430896357935,exposed_above_grade,same_as_floor,sloped,30.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | stubbloft bevart,5 målepunkter,4. etasje,3,10.5,16.923183738596613,16.923183738596613,0.059090536121717184,0.015001867039872876,0.9849981329601271,1.9124356750824387,0.0,1,0.004635652028960077,0.3043693549237851,2.5263236818955397,2.703024826912091,0.3090050069527452,5.229348508807631,exposed_above_grade,same_as_floor,sloped,30.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | stubbloft bevart,5 målepunkter,5. etasje,4,13.5,2.3641007219249994,2.3641007219249994,0.42299382201691355,0.0011358855723015164,0.9988641144276985,2.3934395812251887,0.0,0,0.0030444506539738935,2.6771996938378586,2.6117227997147654,3.7246443172136283,2.6802441444918323,6.336367116928393,exposed_above_grade,same_as_floor,sloped,30.0,202.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | full utskifting + mineralull,5 målepunkter,Kjeller,-1,-1.1,13.565867989536994,13.565867989536994,0.07371441331813595,0.35339880731252077,0.6466011926874792,0.0,7.730966089841017,5,0.038657083661345584,0.07072948715172456,0.4839744839019498,0.9999492955763,0.10938657081307014,1.4839237794782498,exposed_above_grade,same_as_floor,sloped,30.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | full utskifting + mineralull,5 målepunkter,1. etasje,0,1.5,6.229041142734352,6.229041142734352,0.160538352065055,0.567098317726264,0.432901682273736,0.0,0.0,4,0.16921318637407815,0.1291710286462116,0.6526586476459721,1.2059889040579064,0.2983842150202898,1.8586475517038785,exposed_above_grade,same_as_floor,sloped,30.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | full utskifting + mineralull,5 målepunkter,2. etasje,1,4.5,8.423557622542303,8.423557622542303,0.11871468621807697,0.3472774619442481,0.6527225380557519,0.8412668565134835,0.0,3,0.13219310548334795,0.24846247965960674,1.6751730104826723,1.5313012453115646,0.3806555851429547,3.206474255794237,exposed_above_grade,same_as_floor,sloped,30.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | full utskifting + mineralull,5 målepunkter,3. etasje,2,7.5,7.107500383687286,7.107500383687286,0.14069643981942523,0.16703675959933462,0.8329632404006653,1.4147512812936522,0.0,2,0.10005591596982584,0.49894945392495993,2.255377102018669,2.0020537943392656,0.5990053698947858,4.257430896357935,exposed_above_grade,same_as_floor,sloped,30.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | full utskifting + mineralull,5 målepunkter,4. etasje,3,10.5,4.602516410023143,4.602516410023143,0.2172724463995929,0.05945716528354147,0.9405428347164586,1.9124356750824387,0.0,1,0.06755483542357495,1.068638508161122,2.5263236818955397,2.703024826912091,1.136193343584697,5.229348508807631,exposed_above_grade,same_as_floor,sloped,30.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | full utskifting + mineralull,5 målepunkter,5. etasje,4,13.5,2.325265231701232,2.325265231701232,0.430058466606999,0.017544398623785495,0.9824556013762145,2.3934395812251887,0.0,0,0.047808632327377386,2.6771996938378586,2.6117227997147654,3.7246443172136283,2.725008326165236,6.336367116928393,exposed_above_grade,same_as_floor,sloped,30.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | referanse lett,5 målepunkter,Kjeller,-1,-1.1,7.53759393244748,7.53759393244748,0.13266833010136656,0.1963587370736274,0.8036412629263727,0.0,7.730966089841017,5,0.038657083661345584,0.15821260615974236,0.4839744839019498,0.9999492955763,0.19686968982108793,1.4839237794782498,exposed_above_grade,same_as_floor,sloped,30.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | R=30 m,Murbygg | referanse lett,5 målepunkter,1. etasje,0,1.5,4.434868195581744,4.434868195581744,0.22548584442627947,0.40375496571982994,0.5962450342801701,0.0,0.0,4,0.16921318637407815,0.24988552631270786,0.6526586476459721,1.2059889040579064,0.419098712686786,1.8586475517038785,exposed_above_grade,same_as_floor,sloped,30.0,40.375,35.0,450.0,650.0,300.0
