scenario,building,point,label,floor,z_m,PF,PF_raw,LF,ground_frac,roof_frac,avg_floor_crossings,avg_soil_path_m,floor_decks_above,Dg_in,Dr_in,Dg_ref,Dr_ref,Din,Dref,basement_opening_mode,basement_ceiling_mode,roof_model,ground_radius_m,M_floor_kg_m2,M_roof_kg_m2,M_wall_kg_m2,M_foundation_wall_kg_m2,M_basement_ceiling_kg_m2
Kjellervindu 40x60 cm | Flatt tak,Murbygg | stubbloft bevart,5 målepunkter,Kjeller,-1,-1.1,47.029811441469306,47.029811441469306,0.021263108852659224,0.8829647836893673,0.11703521631063274,0.0,11.921624055050621,5,0.03842565013392303,0.005093243081008884,0.5507251446215115,1.4959601974181747,0.043518893214931915,2.046685342039686,exposed_above_grade,same_as_floor,flat,60.0,145.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Murbygg | stubbloft bevart,5 målepunkter,1. etasje,0,1.5,12.250874329749479,12.250874329749479,0.0816268270397358,0.9221297258114691,0.07787027418853094,0.0,0.0,4,0.191316086476387,0.016155900513328467,0.7436205829470717,1.7980926566073514,0.20747198698971547,2.541713239554423,exposed_above_grade,same_as_floor,flat,60.0,145.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Murbygg | stubbloft bevart,5 målepunkter,2. etasje,1,4.5,28.47878439969417,28.47878439969417,0.035113858301154835,0.637582584064049,0.36241741593595106,0.7389451382382641,0.0,3,0.09439875772278074,0.05365854509918252,1.9451084870412334,2.2713835188256892,0.14805730282196325,4.216492005866923,exposed_above_grade,same_as_floor,flat,60.0,145.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Murbygg | stubbloft bevart,5 målepunkter,3. etasje,2,7.5,24.571379424417184,24.571379424417184,0.04069775582099699,0.18745802218665727,0.8125419778133428,1.252122933293688,0.0,2,0.04308025222186958,0.18673254383427013,2.696155236194249,2.9506621722873647,0.2298127960561397,5.646817408481613,exposed_above_grade,same_as_floor,flat,60.0,145.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Murbygg | stubbloft bevart,5 målepunkter,4. etasje,3,10.5,9.714979727286389,9.714979727286389,0.10293382261944486,0.032890725540467014,0.967109274459533,1.6950226097836676,0.0,1,0.0239710624659447,0.7048381100909809,3.125342298506251,3.9550240379446473,0.7288091725569256,7.080366336450899,exposed_above_grade,same_as_floor,flat,60.0,145.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Murbygg | stubbloft bevart,5 målepunkter,5. etasje,4,13.5,2.5969100680696813,2.5969100680696813,0.3850730190065125,0.004243058868364291,0.9957569411316357,2.092333162241398,0.0,0,0.014320447743174768,3.3607087911736384,3.3529218731732007,5.411725537399424,3.375029238916813,8.764647410572625,exposed_above_grade,same_as_floor,flat,60.0,145.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Murbygg | full utskifting + mineralull,5 målepunkter,Kjeller,-1,-1.1,14.127481009402679,14.127481009402679,0.07078402719737797,0.2652374702600586,0.7347625297399413,0.0,11.921624055050621,5,0.03842565013392303,0.10644698078148893,0.5507251446215115,1.4959601974181747,0.14487263091541197,2.046685342039686,exposed_above_grade,same_as_floor,flat,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Murbygg | full utskifting + mineralull,5 målepunkter,1. etasje,0,1.5,6.618054513896815,6.618054513896815,0.15110180762339842,0.49814442871930276,0.5018555712806972,0.0,0.0,4,0.191316086476387,0.19274137848061018,0.7436205829470717,1.7980926566073514,0.3840574649569972,2.541713239554423,exposed_above_grade,same_as_floor,flat,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Murbygg | full utskifting + mineralull,5 målepunkter,2. etasje,1,4.5,7.942194870457481,7.942194870457481,0.12590977888488886,0.3109976469003257,0.6890023530996743,0.7389451382382641,0.0,3,0.16510789692108294,0.36578967920752287,1.9451084870412334,2.2713835188256892,0.5308975761286058,4.216492005866923,exposed_above_grade,same_as_floor,flat,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Murbygg | full utskifting + mineralull,5 målepunkter,3. etasje,2,7.5,6.712254941770669,6.712254941770669,0.14898123040246197,0.14362635678486285,0.8563736432151371,1.252122933293688,0.0,2,0.12082851721892547,0.720441288154707,2.696155236194249,2.9506621722873647,0.8412698053736325,5.646817408481613,exposed_above_grade,same_as_floor,flat,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Flatt tak,Murbygg | full utskifting + mineralull,5 målepunkter,4. etasje,3,10.5,4.495655347995645,4.495655347995645,0.22243698028271733,0.05272830801732822,0.9472716919826717,1.6950226097836676,0.0,1,0.08304367398411752,1.4918916331914265,3.125342298506251,3.9550240379446473,1.574935307175544,7.080366336450899,exposed_above_grade,same_as_floor,flat,60.0,62.0,35.0,450.0,650.0,300.0
