parameter,level,PF_bygg_eff,PF_bygg_arithmetic_mean,PF_kjeller,PF_3etasje,PF_5etasje,minimum_PF_1til4,change_from_baseline_percent,note
Etasjeskillermasse,174 kg/m²,19.33,24.35,39.14,40.16,2.634,9.949,-16.42,
Etasjeskillermasse,202 kg/m²,23.13,30.54,39.9,56.1,2.636,10.08,0,
Etasjeskillermasse,230 kg/m²,26.88,37.33,40.19,75.02,2.637,10.14,16.21,
Integrasjonsradius,R = 100 m,22.27,27.77,41.37,50.46,2.767,9.816,-3.72,
Integrasjonsradius,R = 150 m,21.81,26.44,42.65,47.52,2.837,9.735,-5.72,
Integrasjonsradius,R = 30 m,24.13,37.19,37.96,66.26,2.364,10.85,4.3,
Integrasjonsradius,R = 60 m,23.13,30.54,39.9,56.1,2.636,10.08,0,
µ/ρ (metodisk),µ/ρ = 0.0065,20.48,26.11,39.11,45.35,2.574,9.691,-11.49,
µ/ρ (metodisk),µ/ρ = 0.0070,23.13,30.54,39.9,56.1,2.636,10.08,0,
µ/ρ (metodisk),µ/ρ = 0.0075,25.89,35.46,40.57,68.73,2.698,10.43,11.94,
Kjelleråpning,40x60 cm,23.13,30.54,39.9,56.1,2.636,10.08,0,
Kjelleråpning,60x30 cm,23.13,30.54,52.99,56.1,2.636,10.08,0,
Kjelleråpning,Luftespalte 15x15 cm,21.61,28.55,328.2,53.88,2.635,8.661,-6.57,
Takmodell,Flatt tak,23.03,31.25,52.37,52.5,2.602,13.08,-0.45,
Takmodell,Saltak 45°,23.13,30.54,39.9,56.1,2.636,10.08,0,
Kjellerdekke,Standard (202 kg/m²),23.13,30.54,39.9,56.1,2.636,10.08,0,
Kjellerdekke,Tungt (300 kg/m²),23.13,30.54,40.13,56.1,2.636,10.08,0,
